127.0.0.1, 2024-03-20 15:07:03, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 5.458694
127.0.0.1, 2024-03-20 15:07:05, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 4.950578
127.0.0.1, 2024-03-20 15:07:06, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 1.786000
127.0.0.1, 2024-03-20 15:07:12, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.723758
127.0.0.1, 2024-03-20 15:07:15, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.650468
127.0.0.1, 2024-03-20 15:07:47, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 500, 3.198876
127.0.0.1, 2024-03-20 15:28:44, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 500, 1.304642
127.0.0.1, 2024-03-20 15:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000824
127.0.0.1, 2024-03-20 15:28:49, GET, /admin/default/ticket/SIP_application/127.0.0.1.2024-03-20.15-28-42.f2d11ab7-93a9-4f0a-b707-e16d3d4e7fab, HTTP/1.1, 200, 2.654797
127.0.0.1, 2024-03-20 15:28:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000486
127.0.0.1, 2024-03-20 15:29:48, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.733556
127.0.0.1, 2024-03-20 15:29:48, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.001371
127.0.0.1, 2024-03-20 15:29:52, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.183612
127.0.0.1, 2024-03-20 15:29:58, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.172112
127.0.0.1, 2024-03-20 15:30:00, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.069051
127.0.0.1, 2024-03-20 15:30:01, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.347443
127.0.0.1, 2024-03-20 15:30:03, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.028628
127.0.0.1, 2024-03-20 15:30:07, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.165753
127.0.0.1, 2024-03-20 15:30:12, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.081013
127.0.0.1, 2024-03-20 15:30:15, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.017777
127.0.0.1, 2024-03-20 15:30:18, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.052181
127.0.0.1, 2024-03-20 15:31:58, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.099945
127.0.0.1, 2024-03-20 15:31:58, GET, /SIP_application/static/images/background.jpg, HTTP/1.1, 404, 0.000728
127.0.0.1, 2024-03-20 15:32:18, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.089297
127.0.0.1, 2024-03-20 15:32:18, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.120358
127.0.0.1, 2024-03-20 15:32:23, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.287996
127.0.0.1, 2024-03-20 15:32:24, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.239126
127.0.0.1, 2024-03-20 15:36:22, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 500, 0.224867
127.0.0.1, 2024-03-20 15:36:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2024-03-20 15:36:24, GET, /admin/default/ticket/SIP_application/127.0.0.1.2024-03-20.15-36-22.0468d47f-edb6-491e-8d8a-32ad2348ed99, HTTP/1.1, 200, 0.374607
127.0.0.1, 2024-03-20 15:36:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2024-03-20 15:40:19, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.753553
127.0.0.1, 2024-03-20 15:40:26, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.042253
127.0.0.1, 2024-03-20 15:42:42, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.782275
127.0.0.1, 2024-03-20 15:42:48, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.059759
127.0.0.1, 2024-03-20 15:42:56, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.056326
127.0.0.1, 2024-03-20 15:43:03, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.021809
127.0.0.1, 2024-03-20 15:54:23, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.361861
127.0.0.1, 2024-03-20 15:54:23, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.001145
127.0.0.1, 2024-03-20 15:54:31, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 500, 0.204443
127.0.0.1, 2024-03-20 15:54:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000525
127.0.0.1, 2024-03-20 15:54:35, GET, /admin/default/ticket/SIP_application/127.0.0.1.2024-03-20.15-54-31.b8366432-f1e0-416f-81b1-51bafed2c7a8, HTTP/1.1, 200, 0.774169
127.0.0.1, 2024-03-20 15:54:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2024-03-20 15:57:26, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.050516
127.0.0.1, 2024-03-20 15:57:49, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.149747
127.0.0.1, 2024-03-20 15:57:52, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.086198
127.0.0.1, 2024-03-20 15:58:03, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.047810
127.0.0.1, 2024-03-20 15:58:03, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.195373
127.0.0.1, 2024-03-20 15:58:08, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.037198
127.0.0.1, 2024-03-20 15:58:11, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.100610
127.0.0.1, 2024-03-20 15:58:11, GET, /SIP_application/static/images/background.jpg, HTTP/1.1, 404, 0.000526
127.0.0.1, 2024-03-20 15:58:16, GET, /, HTTP/1.1, 303, 0.001184
127.0.0.1, 2024-03-20 15:58:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.703826
127.0.0.1, 2024-03-20 15:58:17, GET, /admin, HTTP/1.1, 303, 0.004519
127.0.0.1, 2024-03-20 15:58:17, GET, /admin/default/site, HTTP/1.1, 200, 0.099089
127.0.0.1, 2024-03-20 15:58:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2024-03-20 15:58:20, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.068012
127.0.0.1, 2024-03-20 15:58:22, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.091658
127.0.0.1, 2024-03-20 15:58:24, GET, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 200, 0.060446
127.0.0.1, 2024-03-20 15:58:32, POST, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 303, 0.062323
127.0.0.1, 2024-03-20 15:58:32, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.139938
127.0.0.1, 2024-03-20 15:58:34, GET, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 200, 0.061659
127.0.0.1, 2024-03-20 15:58:35, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.121494
127.0.0.1, 2024-03-20 15:58:36, GET, /SIP_application/default/index, HTTP/1.1, 200, 0.084764
127.0.0.1, 2024-03-20 15:58:40, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.029468
127.0.0.1, 2024-03-20 15:58:52, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.078458
127.0.0.1, 2024-03-20 15:58:57, GET, /SIP_application/subjects/subjects_view/new/subjects, HTTP/1.1, 200, 0.017415
127.0.0.1, 2024-03-20 15:58:59, POST, /SIP_application/subjects/subjects_view/new/subjects, HTTP/1.1, 303, 0.070871
127.0.0.1, 2024-03-20 15:58:59, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.120968
127.0.0.1, 2024-03-20 15:59:03, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.139112
127.0.0.1, 2024-03-20 15:59:07, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.053794
127.0.0.1, 2024-03-20 15:59:07, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.149034
127.0.0.1, 2024-03-20 15:59:09, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.069763
127.0.0.1, 2024-03-20 15:59:12, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.120114
127.0.0.1, 2024-03-20 15:59:12, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.093342
127.0.0.1, 2024-03-20 15:59:13, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.138212
127.0.0.1, 2024-03-20 15:59:16, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.101147
127.0.0.1, 2024-03-20 15:59:16, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.130063
127.0.0.1, 2024-03-20 15:59:17, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.159875
127.0.0.1, 2024-03-20 15:59:20, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.160008
127.0.0.1, 2024-03-20 15:59:24, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.036202
127.0.0.1, 2024-03-20 15:59:37, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.096620
127.0.0.1, 2024-03-20 15:59:42, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.082244
127.0.0.1, 2024-03-20 16:04:10, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.113756
127.0.0.1, 2024-03-20 16:04:15, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.043678
127.0.0.1, 2024-03-20 16:04:21, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.117387
127.0.0.1, 2024-03-20 16:08:39, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 1.043344
127.0.0.1, 2024-03-20 16:08:49, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.102895
127.0.0.1, 2024-03-20 16:08:51, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.088260
127.0.0.1, 2024-03-20 16:08:53, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.057846
127.0.0.1, 2024-03-20 16:08:56, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.054979
127.0.0.1, 2024-03-20 16:09:01, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.066714
127.0.0.1, 2024-03-20 16:09:04, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.089934
127.0.0.1, 2024-03-20 16:15:20, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.281572
127.0.0.1, 2024-03-20 16:15:27, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.184537
127.0.0.1, 2024-03-20 16:15:31, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.136981
127.0.0.1, 2024-03-20 16:15:31, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.000667
127.0.0.1, 2024-03-20 16:15:33, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.070925
127.0.0.1, 2024-03-20 16:21:19, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.267343
